CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CD_CURSO_PPG,CD_CONCEITO_CURSO
12001015024P0,2014,34,1,3.0
12001015024P0,2015,34,1,3.0
12001015024P0,2016,34,1,3.0
12001015024P0,2017,34,1,2.0
12001015024P0,2018,34,1,2.0
12001015024P0,2019,34,1,2.0
12001015025P7,2013,23,2,3.0
12001015025P7,2014,23,2,3.0
12001015025P7,2015,23,2,3.0
12001015025P7,2016,23,2,3.0
12001015025P7,2017,23,2,3.0
12001015025P7,2018,23,2,3.0
12001015025P7,2019,23,2,3.0
12001015026P3,2013,36,1,4.0
12001015026P3,2014,36,1,4.0
12001015026P3,2015,36,1,4.0
12001015026P3,2016,36,1,4.0
12001015026P3,2017,36,1,4.0
12001015026P3,2018,36,2,4.0
12001015026P3,2019,36,2,4.0
12001015027P0,2013,32,1,3.0
12001015027P0,2014,32,1,3.0
12001015027P0,2015,32,1,3.0
12001015027P0,2016,32,1,3.0
12001015027P0,2017,32,1,3.0
12001015027P0,2018,32,1,3.0
12001015027P0,2019,32,1,3.0
12001015028P6,2013,27,1,2.0
12001015028P6,2014,27,1,2.0
12001015029P2,2013,35,2,4.0
12001015029P2,2014,35,2,4.0
12001015029P2,2015,35,2,4.0
12001015029P2,2016,35,2,4.0
12001015029P2,2017,35,2,4.0
12001015029P2,2018,35,2,4.0
12001015029P2,2019,35,2,4.0
12001015032P3,2013,31,1,3.0
12001015032P3,2014,31,1,3.0
12001015032P3,2015,31,1,3.0
12001015032P3,2016,31,1,3.0
12001015032P3,2017,31,1,2.0
12001015032P3,2018,31,1,2.0
12001015032P3,2019,31,1,2.0
12001015033P0,2013,19,1,3.0
12001015033P0,2014,19,1,3.0
12001015033P0,2015,19,1,3.0
12001015033P0,2016,19,1,3.0
12001015033P0,2017,19,1,3.0
12001015033P0,2018,19,1,3.0
12001015033P0,2019,19,1,3.0
12001015034P6,2013,9,2,4.0
12001015034P6,2014,9,2,4.0
12001015034P6,2015,9,2,4.0
12001015034P6,2016,9,2,4.0
12001015034P6,2017,9,2,4.0
12001015034P6,2018,9,2,4.0
12001015034P6,2019,9,2,4.0
12001015035P2,2013,47,1,3.0
12001015035P2,2014,47,1,3.0
12001015035P2,2015,47,1,3.0
12001015035P2,2016,47,1,3.0
12001015035P2,2017,47,1,3.0
12001015035P2,2018,47,1,3.0
12001015035P2,2019,47,1,3.0
12001015036P9,2013,37,1,3.0
12001015036P9,2014,37,1,3.0
12001015036P9,2015,37,1,3.0
12001015036P9,2016,37,1,3.0
12001015036P9,2017,37,1,3.0
12001015036P9,2018,37,1,3.0
12001015036P9,2019,37,1,3.0
12001015037P5,2013,41,1,3.0
12001015037P5,2014,41,1,3.0
12001015037P5,2015,41,1,3.0
12001015037P5,2016,41,1,3.0
12001015037P5,2017,41,1,3.0
12001015037P5,2018,41,1,3.0
12001015037P5,2019,41,1,3.0
12001015038P1,2013,48,1,4.0
12001015038P1,2014,48,1,4.0
12001015038P1,2015,48,1,4.0
12001015038P1,2016,48,1,4.0
12001015038P1,2017,48,1,4.0
12001015038P1,2018,48,1,4.0
12001015038P1,2019,48,1,4.0
12001015039P8,2014,16,1,3.0
12001015039P8,2015,16,1,3.0
12001015039P8,2016,16,1,3.0
12001015039P8,2017,16,1,3.0
12001015039P8,2018,16,1,3.0
12001015039P8,2019,16,1,3.0
12001015040P6,2013,18,1,3.0
12001015040P6,2014,18,1,3.0
12001015040P6,2015,18,1,3.0
12001015040P6,2016,18,1,3.0
12001015040P6,2017,18,1,3.0
12001015040P6,2018,18,1,3.0
12001015040P6,2019,18,1,3.0
12001015041P2,2013,49,1,3.0
12001015041P2,2014,49,1,3.0
12001015041P2,2015,49,1,3.0
12001015041P2,2016,49,1,3.0
12001015041P2,2017,49,1,3.0
12001015041P2,2018,49,1,3.0
12001015041P2,2019,49,1,3.0
12001015042P9,2014,46,1,3.0
12001015042P9,2015,46,1,3.0
12001015042P9,2016,46,1,3.0
12001015042P9,2017,46,1,3.0
12001015042P9,2018,46,1,3.0
12001015042P9,2019,46,1,3.0
12001015063P6,2016,7,2,4.0
12001015063P6,2017,7,2,4.0
12001015063P6,2018,7,2,4.0
12001015063P6,2019,7,2,4.0
12001015064P2,2015,49,1,3.0
12001015064P2,2016,49,1,3.0
12001015064P2,2017,49,1,3.0
12001015064P2,2018,49,1,3.0
12001015064P2,2019,49,1,3.0
12001015065P9,2015,17,1,3.0
12001015065P9,2016,17,1,3.0
12001015065P9,2017,17,1,3.0
12001015065P9,2018,17,1,3.0
12001015065P9,2019,17,1,3.0
12001015066P5,2016,23,1,3.0
12001015066P5,2017,23,1,3.0
12001015066P5,2018,23,1,3.0
12001015066P5,2019,23,1,3.0
12001015171P3,2017,46,1,3.0
12001015171P3,2018,46,1,3.0
12001015171P3,2019,46,1,3.0
12001015172P0,2017,29,1,3.0
12001015172P0,2018,29,1,3.0
12001015172P0,2019,29,1,3.0
12002011001P7,2013,7,2,4.0
12002011001P7,2014,7,2,4.0
12002011001P7,2015,7,2,4.0
12002011001P7,2016,7,2,4.0
12002011001P7,2017,7,2,4.0
12002011001P7,2018,7,2,4.0
12002011001P7,2019,7,2,4.0
12002011002P3,2013,7,2,4.0
12002011002P3,2014,7,2,4.0
12002011002P3,2015,7,2,4.0
12002011002P3,2016,7,2,4.0
12002011002P3,2017,7,2,4.0
12002011002P3,2018,7,2,4.0
12002011002P3,2019,7,2,4.0
12002011003P0,2013,7,2,6.0
12002011003P0,2014,7,2,6.0
12002011003P0,2015,7,2,6.0
12002011003P0,2016,7,2,6.0
12002011003P0,2017,7,2,6.0
12002011003P0,2018,7,2,6.0
12002011003P0,2019,7,2,6.0
12002011004P6,2013,7,2,5.0
12002011004P6,2014,7,2,5.0
12002011004P6,2015,7,2,5.0
12002011004P6,2016,7,2,5.0
12002011004P6,2017,7,2,5.0
12002011004P6,2018,7,2,5.0
12002011004P6,2019,7,2,5.0
12002011006P9,2013,42,2,5.0
12002011006P9,2014,42,2,5.0
12002011006P9,2015,42,2,5.0
12002011006P9,2016,42,2,5.0
12002011006P9,2017,42,2,5.0
12002011006P9,2018,42,2,5.0
12002011006P9,2019,42,2,5.0
12002011009P8,2013,6,2,4.0
12002011009P8,2014,6,2,4.0
12002011009P8,2015,6,2,4.0
12002011009P8,2016,6,2,4.0
12002011009P8,2017,6,2,4.0
12002011009P8,2018,6,2,4.0
12002011009P8,2019,6,2,4.0
12002011010P6,2013,42,1,3.0
12002011010P6,2014,42,1,3.0
12002011010P6,2015,42,1,3.0
12002011010P6,2016,42,1,3.0
12002011010P6,2017,42,1,3.0
12002011010P6,2018,42,1,3.0
12002011010P6,2019,42,1,3.0
12002011011P2,2013,5,2,4.0
12002011011P2,2014,5,2,4.0
12002011011P2,2015,5,2,4.0
12002011011P2,2016,5,2,4.0
12002011011P2,2017,5,2,4.0
12002011011P2,2018,5,2,4.0
12002011011P2,2019,5,2,4.0
12002011012P9,2013,42,1,3.0
12002011012P9,2014,42,1,3.0
12002011012P9,2015,42,1,3.0
12002011012P9,2016,42,1,3.0
12002011012P9,2017,42,1,3.0
12002011012P9,2018,42,1,3.0
12002011012P9,2019,42,1,3.0
12003018001P3,2014,46,1,3.0
12003018001P3,2015,46,1,3.0
12003018001P3,2016,46,1,3.0
12003018001P3,2017,46,1,4.0
12003018001P3,2018,46,1,4.0
12003018001P3,2019,46,1,4.0
12006017001P2,2013,6,2,2.0
12006017001P2,2014,6,2,2.0
12006017001P2,2015,6,2,2.0
12006017001P2,2016,6,2,2.0
12006017002P9,2013,6,1,2.0
12006017002P9,2014,6,1,2.0
12006017002P9,2015,6,1,2.0
12006017002P9,2016,6,1,2.0
12006017003P5,2013,23,2,3.0
12006017003P5,2014,23,2,3.0
12006017003P5,2015,23,2,3.0
12006017003P5,2016,23,2,3.0
12006017003P5,2017,23,2,3.0
12006017003P5,2018,23,2,3.0
12006017003P5,2019,23,2,3.0
12008010001P9,2013,16,2,5.0
12008010001P9,2014,16,2,5.0
12008010001P9,2015,16,2,5.0
12008010001P9,2016,16,2,5.0
12008010001P9,2017,16,2,5.0
12008010001P9,2018,16,2,5.0
12008010001P9,2019,16,2,5.0
12008010002P5,2013,26,1,3.0
12008010002P5,2014,26,1,3.0
12008010002P5,2015,26,1,3.0
12008010002P5,2016,26,1,3.0
12008010002P5,2017,26,1,3.0
12008010002P5,2018,26,1,3.0
12008010002P5,2019,26,1,3.0
12008010003P1,2013,48,1,3.0
12008010003P1,2014,48,1,3.0
12008010003P1,2015,48,1,3.0
12008010003P1,2016,48,1,3.0
12008010003P1,2017,48,1,3.0
12008010003P1,2018,48,1,3.0
12008010003P1,2019,48,1,3.0
12008010005P4,2013,46,1,4.0
12008010005P4,2014,46,1,4.0
12008010005P4,2015,46,1,4.0
12008010005P4,2016,46,1,4.0
