CD_PROGRAMA_IES,AN_BASE,CD_AREA_AVALIACAO,CONCEITO_PROGRAMA,Total_docentes,Mulheres,Homens,Brasileiros,Estrangeiros,QTDE_Regime_Parcial,QTDE_Regime_Integral,QTDE_Regime_Exclusivo,QTDE_Prof_Doutor,QTDE_Prof_NaoDoutor,QTDE_titulados_Brasil,QTDE_titulados_Exterior,Profs_Colaboradores,Profs_ServidoresPublicos,Profs_VinculoCLT,Profs_Aposentados,Profs_BolsaDeFixacao,Total_cursos,MEDIA_CONCEITO_CURSO
10001018040P0,2018,46,3,15,7,8,15,0,3,0,12,15,0,14,1,3,12,0,0,0,1,3.0
10001018040P0,2019,46,3,21,11,10,21,0,5,0,16,21,0,20,1,5,16,0,0,0,1,3.0
11001011001P8,2013,7,3,22,5,17,20,2,7,15,0,22,0,19,3,7,14,1,0,0,1,3.0
11001011001P8,2014,7,3,22,5,17,20,2,7,15,0,22,0,19,3,7,14,1,0,0,1,3.0
11001011001P8,2015,7,3,20,4,16,18,2,4,15,1,20,0,17,3,4,15,1,0,0,1,3.0
11001011001P8,2016,7,3,19,3,16,17,2,3,13,3,19,0,16,3,3,15,0,0,1,1,3.0
11001011001P8,2017,7,3,22,5,17,20,2,5,13,4,22,0,18,4,5,16,0,0,1,1,3.0
11001011001P8,2018,7,3,21,5,16,19,2,4,13,4,21,0,17,4,4,16,0,0,1,1,3.0
11001011001P8,2019,7,3,24,7,17,22,2,4,14,6,24,0,20,4,4,20,0,0,0,1,3.0
11001011003P0,2013,41,3,25,14,11,25,0,0,25,0,25,0,24,1,0,23,2,0,0,1,3.0
11001011003P0,2014,41,3,15,7,8,15,0,0,15,0,15,0,14,1,0,15,0,0,0,1,3.0
11001011003P0,2015,41,3,24,14,10,23,1,2,14,8,24,0,22,2,2,21,0,0,1,1,3.0
11001011003P0,2016,41,3,23,13,10,22,1,2,13,8,23,0,21,2,2,20,0,0,1,1,3.0
11001011003P0,2017,41,4,20,9,11,19,1,2,8,10,20,0,18,2,2,17,0,0,1,1,4.0
11001011003P0,2018,41,4,20,10,10,19,1,2,7,11,20,0,18,2,2,16,0,0,2,2,4.0
11001011003P0,2019,41,4,26,12,14,25,1,2,7,17,26,0,23,3,2,22,0,0,2,2,4.0
11001011004P7,2013,42,3,13,4,9,13,0,2,11,0,13,0,13,0,1,11,1,0,0,2,3.5
11001011004P7,2014,42,3,12,3,9,12,0,1,11,0,12,0,12,0,0,11,1,0,0,2,3.5
11001011004P7,2015,42,3,12,3,9,12,0,1,11,0,12,0,12,0,0,11,1,0,0,2,3.5
11001011004P7,2016,42,3,16,5,11,16,0,2,11,3,16,0,16,0,1,14,1,0,0,2,3.5
11001011004P7,2017,42,4,19,6,13,19,0,2,12,5,19,0,19,0,1,17,1,0,0,2,4.0
11001011004P7,2018,42,4,18,5,13,18,0,2,11,5,18,0,18,0,1,16,1,0,0,2,4.0
11001011004P7,2019,42,4,19,5,14,19,0,2,12,5,19,0,18,1,2,16,1,0,0,2,4.0
11001011005P3,2013,22,4,15,10,5,15,0,6,9,0,15,0,14,1,5,9,0,1,0,2,4.0
11001011005P3,2014,22,4,14,10,4,14,0,6,8,0,14,0,13,1,5,8,0,1,0,2,4.0
11001011005P3,2015,22,4,13,10,3,13,0,5,6,2,13,0,12,1,4,8,0,1,0,2,4.0
11001011005P3,2016,22,4,15,11,4,15,0,5,7,3,15,0,14,1,4,10,0,1,0,2,4.0
11001011005P3,2017,22,4,12,10,2,12,0,4,5,3,12,0,11,1,4,8,0,0,0,2,4.0
11001011005P3,2018,22,4,18,15,3,18,0,4,5,9,18,0,18,0,4,14,0,0,0,2,4.0
11001011005P3,2019,22,4,18,15,3,18,0,4,5,9,18,0,18,0,4,14,0,0,0,2,4.0
11001011006P0,2013,45,3,18,5,13,18,0,0,0,18,18,0,17,1,0,16,2,0,0,1,3.0
11001011006P0,2014,45,3,17,5,12,17,0,0,17,0,17,0,16,1,0,15,2,0,0,1,3.0
11001011006P0,2015,45,3,21,5,16,21,0,0,17,4,21,0,20,1,0,18,2,0,1,1,3.0
11001011006P0,2016,45,3,23,4,19,23,0,2,13,8,23,0,22,1,2,19,1,0,1,1,3.0
11001011006P0,2017,45,3,26,6,20,26,0,3,14,9,26,0,25,1,3,21,1,0,1,1,3.0
11001011006P0,2018,45,3,21,5,16,21,0,3,12,6,21,0,21,0,3,17,0,0,1,1,3.0
11001011006P0,2019,45,3,20,5,15,20,0,2,11,7,20,0,20,0,2,17,0,0,1,1,3.0
11001011007P6,2014,46,3,11,4,7,10,1,2,9,0,11,0,10,1,2,9,0,0,0,1,3.0
11001011007P6,2015,46,3,14,4,10,13,1,2,12,0,14,0,13,1,2,12,0,0,0,1,3.0
11001011007P6,2016,46,3,20,7,13,19,1,2,18,0,20,0,19,1,2,18,0,0,0,1,3.0
11001011007P6,2017,46,3,22,8,14,21,1,2,18,2,22,0,21,1,2,20,0,0,0,1,3.0
11001011007P6,2018,46,3,19,7,12,18,1,1,14,4,19,0,18,1,1,18,0,0,0,1,3.0
11001011007P6,2019,46,3,18,6,12,17,1,0,14,4,18,0,17,1,0,18,0,0,0,1,3.0
11001011008P2,2014,24,3,13,3,10,13,0,2,1,10,13,0,13,0,1,11,0,0,1,1,3.0
11001011008P2,2015,24,4,15,3,12,15,0,4,1,10,15,0,15,0,1,13,0,0,1,2,3.5
11001011008P2,2016,24,4,23,8,15,23,0,7,3,13,23,0,23,0,4,16,0,0,3,2,3.5
11001011008P2,2017,24,4,25,8,17,25,0,7,3,15,25,0,25,0,4,18,0,0,3,2,4.0
11001011008P2,2018,24,4,28,10,18,28,0,7,3,18,28,0,28,0,5,20,0,0,3,2,4.0
11001011008P2,2019,24,4,32,11,21,32,0,7,3,22,32,0,32,0,5,25,0,0,2,2,4.0
11001011009P9,2014,38,3,9,8,1,9,0,0,0,9,9,0,9,0,0,9,0,0,0,1,3.0
11001011009P9,2015,38,3,10,8,2,10,0,1,0,9,10,0,10,0,1,9,0,0,0,1,3.0
11001011009P9,2016,38,3,9,8,1,9,0,0,0,9,9,0,9,0,0,9,0,0,0,1,3.0
11001011009P9,2017,38,3,9,8,1,9,0,0,0,9,9,0,9,0,0,9,0,0,0,1,3.0
11001011009P9,2018,38,3,11,7,4,11,0,0,1,10,11,0,11,0,0,11,0,0,0,1,3.0
11001011009P9,2019,38,3,20,14,6,20,0,0,1,19,20,0,20,0,1,19,0,0,0,1,3.0
11001011070P0,2016,16,3,25,8,17,25,0,19,3,3,25,0,25,0,1,23,1,0,0,1,3.0
11001011070P0,2017,16,3,23,7,16,23,0,18,2,3,23,0,23,0,1,21,1,0,0,1,3.0
11001011070P0,2018,16,3,27,7,20,27,0,20,1,6,27,0,27,0,1,25,1,0,0,1,3.0
11001011070P0,2019,16,3,27,7,20,27,0,20,1,6,27,0,27,0,1,25,1,0,0,1,3.0
11001011071P6,2016,42,3,11,1,10,10,1,3,0,8,11,0,8,3,3,8,0,0,0,1,3.0
11001011071P6,2017,42,3,14,2,12,13,1,4,0,10,14,0,11,3,4,10,0,0,0,1,3.0
11001011071P6,2018,42,3,15,2,13,14,1,5,0,10,15,0,12,3,5,10,0,0,0,1,3.0
11001011071P6,2019,42,3,17,2,15,16,1,5,0,12,17,0,14,3,5,12,0,0,0,1,3.0
12001015001P0,2013,38,4,22,15,7,22,0,0,22,0,22,0,19,3,0,21,1,0,0,2,4.0
12001015001P0,2014,38,4,26,18,8,26,0,0,25,1,26,0,22,4,0,25,1,0,0,2,4.0
12001015001P0,2015,38,4,25,17,8,25,0,0,24,1,25,0,21,4,0,24,1,0,0,2,4.0
12001015001P0,2016,38,4,23,17,6,23,0,0,22,1,23,0,21,2,0,22,1,0,0,2,4.0
12001015001P0,2017,38,4,22,17,5,22,0,0,16,6,22,0,20,2,0,21,1,0,0,2,4.0
12001015001P0,2018,38,3,22,17,5,22,0,0,16,6,22,0,20,2,0,21,1,0,0,2,3.0
12001015001P0,2019,38,3,25,18,7,25,0,0,18,7,25,0,22,3,0,24,1,0,0,2,3.0
12001015002P7,2013,4,4,24,9,15,23,1,0,23,1,24,0,24,0,0,19,5,0,0,2,4.0
12001015002P7,2014,4,4,24,10,14,23,1,0,23,1,24,0,24,0,0,19,5,0,0,2,4.0
12001015002P7,2015,4,4,28,10,18,27,1,0,23,5,28,0,28,0,0,22,5,0,1,2,4.0
12001015002P7,2016,4,4,27,9,18,26,1,0,21,6,27,0,27,0,0,21,5,0,1,2,4.0
12001015002P7,2017,4,4,31,11,20,30,1,0,20,11,31,0,31,0,0,25,5,0,1,2,4.0
